U0,U,I,P,R,err_U,err_I,err_P,err_R
480,5.810322580645161,0.0028277282086479065,0.016409768193592664,83566.06870930233,0.00534005748824736,0.000820485343475868,0.004753045735254553,38606.88192619374
481,5.8027741935483865,0.0021276595744680847,0.012344986383864325,103093.06563571429,0.004748118391229318,0.00025811249301084776,0.0014929897360382329,42710.63234899748
482,5.804129032258064,0.002580645161290322,0.014989173511634599,43015.35369230769,0.005770527447692321,0.0003655840991898876,0.0021246735314825443,27907.327506332145
483,5.799290322580645,0.0019903912148249827,0.01153997387473155,123010.3077,0.004281788003792146,0.0002443364211075029,0.0014149341729126881,46264.84379997232
484,5.797354838709677,0.002512010981468771,0.014547213673699823,43010.59391967857,0.005525874071038468,0.00031596073284734206,0.0018204315066442055,27907.38968396061
485,5.791935483870968,0.0028826355525051472,0.016672260721323086,62809.748282683984,0.004477640942129487,0.0005090991268064386,0.0029243947824933243,33826.0126304201
486,5.788451612903225,0.002621825669183253,0.015175149998892995,42746.59290757576,0.005007662586079019,0.0003450928767776244,0.0019965406655053854,27914.668753729642
487,5.789999999999999,0.002512010981468771,0.01454004029490557,82276.01998571429,0.003434030142407616,0.00019174500662291806,0.001108403011146511,38660.59905517095
488,5.785161290322581,0.002690459849004804,0.015587619279562509,62486.97411428572,0.005289712387937971,0.00027859673513368823,0.0016240379904172598,33837.41533121486
489,5.77316129032258,0.00304735758407687,0.0176184825204242,141961.4227891705,0.00420385627354771,0.0004411805061496853,0.002557417188955888,49456.936989756505
490,5.763870967741935,0.0026355525051475633,0.015182987579427456,42415.5086,0.004585195562703291,0.00020128447762104268,0.0011568509241960585,27924.397450317734
491,5.7627096774193545,0.003706245710363761,0.021368964066685852,22368.424,0.004612127438597536,0.0005996228983790823,0.003463536970660955,19952.542573044557
492,5.7621290322580645,0.0027179135209334246,0.015670378816392497,82283.14880276498,0.004527222338849162,0.00040472200048311495,0.002337577343166159,38660.30552687227
493,5.764451612903225,0.0027041866849691143,0.015587884960258593,42562.99057142857,0.005730977553479901,0.00036073974823929534,0.002080725546840636,27920.176682875994
494,5.751677419354839,0.0031983527796842826,0.018399318086213385,21991.91417626687,0.004656421506905647,0.00024461954567653836,0.0014095779866623828,19959.55807956632
495,5.751483870967742,0.0031159917638984213,0.01792255407709168,61908.221296337,0.0039047897018786464,0.00022376624461479752,0.0012877484487303316,33858.147889594744
496,5.744516129032258,0.0037611530542210015,0.02161538291230323,22008.927765934066,0.005038027785701906,0.0005273678163980383,0.0030453524457827908,19959.974260135044
497,5.73658064516129,0.003349347975291695,0.019204330595346156,22369.279903571427,0.004409163031593701,0.00029259978356457666,0.0016758488170832788,19953.785251324745
498,5.734451612903226,0.004557309540150995,0.02612478136692718,41710.216937907266,0.0056945101545537976,0.000670114787066655,0.0038342218409847134,27944.55336793414
499,5.741419354838709,0.004021962937542896,0.02308871521243385,21637.343547402597,0.007737194071473258,0.0003647679975970463,0.002085769763038316,19966.796686416517
500,5.719161290322581,0.004653397391901166,0.02661788473885801,1642.3415988991296,0.004133524958696919,0.0006180312503811459,0.003541318465808658,99.30622688021482
501,5.71141935483871,0.004557309540150995,0.026031261761905813,21734.382332712215,0.00558285754150118,0.0006240590331796405,0.003562142571750175,19965.651940809043
502,5.702129032258064,0.004790665751544268,0.027325126751832084,21663.13502607319,0.004831119787955207,0.0007211729608722347,0.004123425870283365,19966.73523570257
503,5.706774193548386,0.004337680164722031,0.0247500166050435,61676.31084047619,0.005510911915574584,0.0005596312420754742,0.003197851873692054,33866.830495603775
504,5.6899354838709675,0.004392587508579272,0.024991653198131375,1612.141292857143,0.0038902744339822807,0.00036423523131692734,0.0020662519577163228,161.99073810488903
505,5.686451612903226,0.005106382978723404,0.029023224920849286,21419.41820052793,0.004138238584450438,0.000626334810163416,0.003544600597769683,19971.581977738093
506,5.667677419354838,0.004982841455044611,0.02823641153939823,1387.2133182539683,0.0037568091040947457,0.0004631434769868081,0.002625147773056566,85.47447878465483
507,5.664193548387097,0.006039807824296499,0.03422777691677552,21302.181557575208,0.00650357612147783,0.0006704704773910679,0.0038009186276394733,19974.086244925413
508,5.652193548387096,0.005710363761153053,0.03227409391812606,1245.6844495670996,0.005615082095083585,0.00058810991694015,0.003323824724721167,93.67147347562435
509,5.653548387096774,0.00546328071379547,0.030877410498815504,21110.848964402263,0.00749099567786768,0.00032575828657092,0.001839321969171467,19977.393410001314
510,5.6413548387096775,0.005435827041866849,0.03067310204352735,1204.9084320013321,0.005815726627763804,0.00018792663674024415,0.001061555841985479,144.64764329160172
511,5.627225806451612,0.005682910089224433,0.03197214780702725,21089.814102148663,0.005620729600723721,0.0005106226339175842,0.002860872223484844,19977.816665611783
512,5.616,0.006479066575154426,0.0364118050789293,20966.20911206839,0.006947964030316951,0.0005132966196885018,0.0029045241033598262,19980.326370694056
513,5.6086451612903225,0.006355525051475634,0.035626718622002784,1032.2433244334097,0.005524144413845672,0.0005304831255617205,0.002957657273027872,72.26639358128597
514,5.588709677419355,0.0066300617707618385,0.03706684083512298,20928.144800613525,0.005808097199336405,0.000659369440270255,0.003684330123967231,19981.08470963341
515,5.573032258064516,0.007810569663692518,0.04348369384727788,869.8793250582751,0.00331382228938145,0.0008522671271843432,0.004715500172500842,38.57096888869479
516,5.555032258064516,0.005943719972546327,0.03301095932871344,975.3976227272727,0.004597600493974408,0.00016478038363404817,0.0009115663291364754,31.01630453818996
517,5.537419354838709,0.007192862045298558,0.039818894325503125,875.5779890457369,0.003770925814834802,0.0006665128285487697,0.0036848586914521647,27.893172726826677
518,5.519032258064516,0.007796842827728208,0.04298461265968516,791.5893537844509,0.0045538255553918975,0.0006594131786662402,0.0035959735891715958,24.731264944706158
519,5.510903225806452,0.007165408373369938,0.039489051741315555,857.2456045454546,0.005384326748775379,0.0005236798843243741,0.0028866235925565833,31.949228071189815
520,5.4801290322580645,0.007028140013726835,0.03851798879713064,20819.19187302436,0.004345854238758766,0.00034834804503636294,0.0019102126545724215,19983.332949385036
521,5.469483870967741,0.007741935483870967,0.0423573405362322,755.6951523643023,0.006230039800023184,0.00045189342393047393,0.0024853992589351976,20.400686195033554
522,5.436193548387096,0.00790665751544269,0.042984081298292995,710.506350453468,0.004263895702030586,0.00023056281528305232,0.0012580776523635061,17.258199829200553
523,5.419548387096774,0.008030199039121482,0.04351066043793034,720.7321957475857,0.004988389330933397,0.00036489448114380605,0.0019680672458321675,23.306426243150952
524,5.39516129032258,0.008016472203157172,0.04323807204374875,712.3295565469618,0.005211449813355976,0.0002641428883691771,0.0014227494307491712,31.081793658981628
525,5.364193548387096,0.009059711736444749,0.04859924281001615,669.6230419994196,0.006153238640811385,0.000533082742193085,0.0028656017146344148,43.62972541724174
526,5.34,0.008702814001372683,0.04646038036619655,669.3408424414595,0.003920031395048234,0.0004044748884197662,0.0021486563977902292,33.34021233929553
527,5.301870967741936,0.008304735758407686,0.044021697256846806,675.0180024383511,0.0058654670423633395,0.0002816238183418976,0.0014901320907766394,25.504923342129274
528,5.257548387096774,0.008881262868908715,0.0467127770274758,604.7722643501427,0.004684494433448265,0.00020133223307916817,0.0010825574700596224,12.487584594899399
529,5.21458064516129,0.009279341111873712,0.048379392034007124,582.1433447036882,0.006246400564748479,0.00027887265550946056,0.0014444181105275962,15.017608700434161
530,5.157870967741935,0.010075497597803705,0.0519876015675161,551.8001126703151,0.004068276263171918,0.0005200988984480912,0.0026999064956585864,18.781170710588366
531,5.099806451612903,0.010253946465339737,0.052274536719286196,529.4949138016933,0.004663640006334946,0.0005027945445692875,0.002554824460247936,14.55382153510196
532,5.013677419354838,0.010048043925875084,0.05038993070161843,509.3324426387338,0.00415520016092223,0.00023182691175419783,0.0011789032249498977,9.694425056243446
533,4.898129032258065,0.010775566231983526,0.052781986848805536,483.5787549612153,0.003562530911376134,0.0005080594728122998,0.0024940219934664527,14.446463710791921
534,4.626967741935483,0.009951956074124912,0.04605614718710562,489.657261641858,0.004480969123660733,0.0003108317969241564,0.0014444741091279077,18.3526381628463
535,4.274129032258064,0.010322580645161289,0.044113755618039714,466.17226864378523,0.006685357504974089,0.00060312702687512,0.00258211190747333,34.816899935773925
536,3.9021290322580646,0.011077556623198351,0.043233821152611415,374.18999184834774,0.005828070353333694,0.0005703745670660069,0.0022360715932902156,9.843740134758168
537,3.553548387096774,0.010048043925875084,0.03570164057829831,361.5583477419639,0.005275239823503843,0.00020450644689845967,0.0007263197279264294,8.527529729144815
538,3.2094193548387095,0.010748112560054906,0.03445573095401509,313.77162259473937,0.005381131070552231,0.0005440110922397641,0.0016925304338357293,6.989064600277691
539,2.901870967741935,0.01036376115305422,0.030101224345207782,287.9606077455112,0.005700213086346537,0.0002969115389690503,0.0008945200500871446,6.146052989514218
540,2.609612903225806,0.01095401509951956,0.028579936679434096,250.0540007083173,0.004737802339491495,0.00045270960778140835,0.0011761603030922597,6.294768631222437
541,2.3336129032258066,0.01026767330130405,0.02400398521044125,243.68025739619003,0.006823445521078067,0.0006210323311883901,0.0015121398696836365,7.665441154132129
542,2.0727096774193545,0.01155799588194921,0.023933048464586975,194.55502197031868,0.005337837968249414,0.0005910189482198744,0.0012124540076279252,7.448303416284305
543,1.8288387096774192,0.010693205216197666,0.019565789182367656,175.4312444267549,0.007148895916182017,0.00024888956842411287,0.0004720004560547968,4.069502383193977
544,1.5905806451612903,0.01096774193548387,0.017444063143445432,153.67413240433456,0.006393975588403289,0.0006137230110549732,0.0009869568150947877,3.8935408264439504
545,1.3722580645161289,0.012409059711736444,0.016981778732260276,124.00057671410308,0.004202401148452725,0.0008694537555011426,0.0011571301592227285,4.375422612750704
546,1.1800645161290322,0.011667810569663692,0.013729979852547213,113.22396530218938,0.004728110599078336,0.0006072698330111588,0.0006915732667414005,7.130381975910136
547,0.9965806451612903,0.011448181194234727,0.011405937963557463,90.30623746166492,0.005249744019510057,0.00040778883717896094,0.0004033010428165087,2.1143135047178148
548,0.8430967741935483,0.011118737131091282,0.009394867934553987,83.25251635271334,0.0072347353842254535,0.0005784049888715608,0.0005122427722235649,4.893644615905125
549,0.7023870967741935,0.01041866849691146,0.007315517966657072,68.80932513466925,0.0037920527475806677,0.00017831952550342962,0.00012825844795176186,1.744963935808377
550,0.5858709677419355,0.011516815374056279,0.00676980981690172,52.58265338005648,0.004312034534553071,0.0003996208513479763,0.0002648365344845427,1.1467548350864294
551,0.4871612903225806,0.011008922443376801,0.005367679943321451,45.103728890382065,0.0061181011978551116,0.0002510969044417549,0.00014280573965436938,0.9625506444640834
552,0.3996774193548387,0.011310912834591626,0.004520025682467287,38.488780742004224,0.004807006078538353,0.00047073241453623186,0.0001924128466341317,2.324613645301248
553,0.3330967741935484,0.012312971859986272,0.004089755795160183,30.126859613189787,0.0048532237881479725,0.0007815444982031992,0.00025842085713489175,1.3274024659627477
554,0.28993548387096774,0.011036376115305422,0.0031941461686629613,26.827476199865778,0.006466500269079143,0.0002408411352931705,9.135823324726889e-05,0.8034220370869852
555,0.24251612903225805,0.011283459162663005,0.0026938694179378746,23.838725237946637,0.005175827125609884,0.0006333559673184915,0.00011734690773869999,1.510788090321876
556,0.21387096774193548,0.011654083733699382,0.0025044390816303936,19.45839824929972,0.007487167556157237,0.0006205770526731655,0.00016695458554696825,0.8653293611358425
557,0.1829032258064516,0.010830473575840768,0.0019674983948457943,17.656863036627975,0.003660332431762321,0.00023636886280198213,5.0807969803172355e-05,0.881714994667864
558,0.16238709677419355,0.011022649279341112,0.0018047689684946972,15.263643226922715,0.005093039523032615,0.0005256039112489366,0.00010671951088782923,0.5172185084251547
559,0.14864516129032257,0.010789293067947837,0.001600726193902628,14.689338603063604,0.0036968062481161144,0.0005003526913247827,8.276536555145644e-05,0.6932777037111524
560,0.1370322580645161,0.011146190803019903,0.0015252728762149355,12.768217521979748,0.004205674471925871,0.0004781567025513299,7.282564349608322e-05,0.467013810621696
561,0.13896774193548386,0.011914893617021275,0.0016594416277370644,12.433349620151091,0.005941548837705419,0.0006037005779226046,0.00010995958545051896,0.6242835998790105
562,0.12174193548387095,0.011640356897735071,0.0014051852015852279,10.918435364600999,0.00470931667795166,0.00038872867358333534,6.870376955890241e-05,0.5007619610960394
563,0.12,0.011640356897735071,0.00137742156884451,11.452546616163762,0.003920031395048246,0.0005673156382702142,7.134639285503007e-05,0.7359817799312466
564,0.11535483870967742,0.011228551818805764,0.0012935993092301902,10.77158173951092,0.00575248123598526,0.000490933920071185,8.180525150743331e-05,0.6176262578848548
565,0.10393548387096774,0.01091283459162663,0.0011219695795602982,10.021536905767093,0.004960109729228045,0.000381383475610878,5.970396095887685e-05,0.5812964818249688
566,0.10954838709677418,0.010693205216197666,0.001161290322580645,10.447280755338573,0.004305203197969088,0.00016181324636435927,4.396256612697815e-05,0.4833946913273691
567,0.10896774193548386,0.011283459162663005,0.0012188101932827063,10.052967372307775,0.004507930110430297,0.0004100082660873967,6.170688849038308e-05,0.4694675552295392
568,0.10083870967741934,0.011050102951269732,0.0011084198640600436,9.617082183064614,0.004789798882140175,0.0003414859254293165,6.326998282108299e-05,0.6022642838119326
569,0.10354838709677419,0.010665751544269046,0.0011035047711825004,10.225529239542707,0.004878049427938437,0.00022376624461479752,5.9258091110829534e-05,0.792240022784757
570,0.09387096774193547,0.010542210020590253,0.000988863550822503,9.020645161185563,0.0039708958386207565,0.00015658370254085404,4.3192874067081696e-05,0.4277841232415246
571,0.10587096774193548,0.010693205216197666,0.0011073571412757099,10.60426468335586,0.00627722848422292,0.00026965388692301215,5.679542436296654e-05,1.0575247756241386
572,0.09619354838709678,0.012134522992450238,0.001223061084420041,8.814076518014252,0.005219951368458295,0.0008799170844125208,0.00019427325760844856,0.5043514107418675
573,0.08864516129032257,0.011352093342484557,0.0010052029136316336,8.173569931113217,0.004831673620380338,0.0005317140137306789,6.464920117892596e-05,0.480013903883155
574,0.08341935483870967,0.010899107755662319,0.0009037128877277657,8.130102702091676,0.00479617911592141,0.00030356525295448337,5.897035797543229e-05,0.6299092776933708
575,0.09251612903225806,0.012518874399450925,0.0011687293820709808,7.979681794619372,0.004468325955321459,0.0006862185257609846,8.858751070376003e-05,0.44596959031379646
576,0.09270967741935483,0.01091283459162663,0.0010195496712201385,8.790156717869333,0.004476274818473991,0.00024275749393352182,5.751380970229014e-05,0.5320165108804435
577,0.08380645161290322,0.011310912834591626,0.0009510040516306151,7.702224797998699,0.004041125207556702,0.00039959679388930645,5.906685561956609e-05,0.417039909380591
578,0.08864516129032257,0.011393273850377488,0.001021675116788806,8.207703766992791,0.0066149437273206905,0.0006474193163729455,9.450102486215096e-05,0.6674771342655806
579,0.09348387096774192,0.010885380919698009,0.001017955587043638,9.065826086995996,0.006416950995759,0.000323418485522414,7.675372634719015e-05,0.7208353317925289
